GEO_ID,NAME,S2301_C04_001E,id
0500000US51001,"Accomack County, Virginia",3.9,51001
0500000US51003,"Albemarle County, Virginia",3.3,51003
0500000US51005,"Alleghany County, Virginia",3.2,51005
0500000US51007,"Amelia County, Virginia",4.3,51007
0500000US51009,"Amherst County, Virginia",5,51009
0500000US51011,"Appomattox County, Virginia",3.7,51011
0500000US51013,"Arlington County, Virginia",2.9,51013
0500000US51015,"Augusta County, Virginia",3,51015
0500000US51017,"Bath County, Virginia",1.7,51017
0500000US51019,"Bedford County, Virginia",3.1,51019
0500000US51021,"Bland County, Virginia",4,51021
0500000US51023,"Botetourt County, Virginia",3.1,51023
0500000US51025,"Brunswick County, Virginia",6.9,51025
0500000US51027,"Buchanan County, Virginia",5.8,51027
0500000US51029,"Buckingham County, Virginia",7,51029
0500000US51031,"Campbell County, Virginia",4.4,51031
0500000US51033,"Caroline County, Virginia",4.1,51033
0500000US51035,"Carroll County, Virginia",5.1,51035
0500000US51036,"Charles City County, Virginia",3.4,51036
0500000US51037,"Charlotte County, Virginia",4.1,51037
0500000US51041,"Chesterfield County, Virginia",4.7,51041
0500000US51043,"Clarke County, Virginia",3.7,51043
0500000US51045,"Craig County, Virginia",1.4,51045
0500000US51047,"Culpeper County, Virginia",4.2,51047
0500000US51049,"Cumberland County, Virginia",2.7,51049
0500000US51051,"Dickenson County, Virginia",4.6,51051
0500000US51053,"Dinwiddie County, Virginia",6.2,51053
0500000US51057,"Essex County, Virginia",8.6,51057
0500000US51059,"Fairfax County, Virginia",4.2,51059
0500000US51061,"Fauquier County, Virginia",2.9,51061
0500000US51063,"Floyd County, Virginia",3.4,51063
0500000US51065,"Fluvanna County, Virginia",2.8,51065
0500000US51067,"Franklin County, Virginia",2.9,51067
0500000US51069,"Frederick County, Virginia",3.7,51069
0500000US51071,"Giles County, Virginia",2,51071
0500000US51073,"Gloucester County, Virginia",3.3,51073
0500000US51075,"Goochland County, Virginia",3.1,51075
0500000US51077,"Grayson County, Virginia",4.6,51077
0500000US51079,"Greene County, Virginia",4,51079
0500000US51081,"Greensville County, Virginia",8.9,51081
0500000US51083,"Halifax County, Virginia",5,51083
0500000US51085,"Hanover County, Virginia",3.1,51085
0500000US51087,"Henrico County, Virginia",4.1,51087
0500000US51089,"Henry County, Virginia",5.9,51089
0500000US51091,"Highland County, Virginia",16.1,51091
0500000US51093,"Isle of Wight County, Virginia",5.6,51093
0500000US51095,"James City County, Virginia",4.4,51095
0500000US51097,"King and Queen County, Virginia",3.2,51097
0500000US51099,"King George County, Virginia",2.9,51099
0500000US51101,"King William County, Virginia",3,51101
0500000US51103,"Lancaster County, Virginia",11.7,51103
0500000US51105,"Lee County, Virginia",9.4,51105
0500000US51107,"Loudoun County, Virginia",3.4,51107
0500000US51109,"Louisa County, Virginia",6.2,51109
0500000US51111,"Lunenburg County, Virginia",4.8,51111
0500000US51113,"Madison County, Virginia",5,51113
0500000US51115,"Mathews County, Virginia",7,51115
0500000US51117,"Mecklenburg County, Virginia",3.4,51117
0500000US51119,"Middlesex County, Virginia",6.2,51119
